Time, in s	Altitude in m	Velocity in m/s
40.6	3058.4402941998	176.5277099581
40.7	3076.2238430872	177.2023131327
40.8	3094.1404691435	177.8372337677
40.9	3112.1579344624	178.4721544026
41	3130.2514230068	179.1467575772
41.1	3148.4035351318	179.7816782121
41.2	3166.6024305924	180.4163321553
41.3	3184.8369099379	181.0512527902
41.4	3203.0914690771	181.6861734251
41.5	3221.3435504381	182.3210940601
41.6	3239.5634971542	182.9956972347
41.7	3257.7152781862	183.6306178696
41.8	3275.7649233523	184.2854856688
41.9	3293.687818739	184.940582085
42	3311.4733494358	185.5999001562
42.1	3329.125584267	186.2697582513
42.2	3346.6632757911	186.9433410404
42.3	3364.119860301	187.5811927361
42.4	3381.5427327016	188.2302647128
42.5	3398.984816958	188.884920723
42.6	3416.4991276759	189.5448424264
42.7	3434.1386794609	190.155365625
42.8	3451.9563942608	190.7950313394
42.9	3469.9995418961	191.450834965
43	3488.3011228828	192.1225070788
43.1	3506.8791271696	192.8030441992
43.2	3525.7365341377	193.4776473738
43.3	3544.8613153387	194.12724948
43.4	3564.2273624789	194.8415351943
43.5	3583.7968548707	195.5161383689
43.6	3603.5261610797	196.1903852941
43.7	3623.3744561016	196.8649884687
43.8	3643.3044669189	197.5195063557
43.9	3663.2839279759	198.1544269906
44	3683.2891462901	198.8290301653
44.1	3703.3046101465	199.4837923418
44.2	3723.3207143047	200.1583955164
44.3	3743.3334143601	200.8531748749
44.4	3763.3430534983	201.5277780495
44.5	3783.3514821916	202.2222858831
44.6	3803.36017011	202.9365715974
44.7	3823.3666382741	203.6508573117
44.8	3843.3639319245	204.3453014843
44.9	3863.3438580307	205.0388741749
45	3883.3049249437	205.6936402086
45.1	3903.2547094134	206.3493378653
45.2	3923.2127325991	207.0040363809
45.3	3943.2108761669	207.6786395556
45.4	3963.2877838212	208.3135601905
45.5	3983.475128072	208.9881633651
45.6	4003.7923083954	209.6834795634
45.7	4024.2385150405	210.3779198789
45.8	4044.7916861411	211.1111111111
45.9	4065.4175606564	211.8452319271
46	4086.0837269452	212.5595176414
46.1	4106.7664282941	213.3134858953
46.2	4127.4642865987	214.0277716096
46.3	4148.1998672681	214.7023747842
46.4	4169.0081923724	215.4166604985
46.5	4189.9251029082	216.1309462128
46.6	4210.9777064286	216.8253968254
46.7	4232.1703449845	217.5396825397
46.8	4253.4848513158	218.2142857143
46.9	4274.8902765398	218.8888888889
47	4296.3473579144	219.6031746032
47.1	4317.8200173965	220.2777777778
47.2	4339.2868425843	220.9322104652
47.3	4360.7395827577	221.6068136398
47.4	4382.1782379165	222.2417342747
47.5	4403.6088568183	222.8961602763
47.6	4425.0338092894	223.5707634509
47.7	4446.4481400763	224.2056840858
47.8	4467.8469674072	224.8406047207
47.9	4489.2328991705	225.4746352546
48	4510.6183584885	226.0897075444
48.1	4532.0304946786	226.7058965599
48.2	4553.5097248884	227.3213118281
48.3	4575.0951279232	227.8906146293
48.4	4596.8181635863	228.4667284016
48.5	4618.6952448336	229.0619664969
48.6	4640.7203941858	229.6125694743
48.7	4662.8689223382	230.1677590601
48.8	4685.1036293943	230.7225946628
48.9	4707.3775353824	231.2647223059
49	4729.6484864283	231.8065306158
49.1	4751.8863670389	232.3415279546
49.2	4774.0814530049	232.8393010091
49.3	4796.2477450519	233.3415046516
49.4	4818.4189780754	233.8379094428
49.5	4840.6422565435	234.3335514912
49.6	4862.9677192232	234.7987996782
49.7	4885.4333463369	235.2998220161
49.8	4908.0623988423	235.7760124923
49.9	4930.855083106	236.2455012419
50	4953.7881129985	236.7464994399
50.1	4976.8265495673	237.2226899161
50.2	4999.9269268268	237.6737287387
50.3	5023.0470535925	238.154421554
50.4	5046.1609158211	238.630519634
50.5	5069.2566064177	239.1067101102
50.6	5092.3341464604	239.6077022743
50.7	5115.4024864607	240.0789181171
50.8	5138.4676921927	240.5551085933
50.9	5161.5321142026	241.056450723
51	5184.5976923114	241.5344170417
51.1	5207.6665303756	241.9858680524
51.2	5230.744273391	242.4620585286
51.3	5253.8394292326	242.9382490048
51.4	5276.9519768224	243.4099935559
51.5	5300.0704735611	243.9120822236
51.6	5323.1699233914	244.3882726998
51.7	5346.2096652416	244.882555196
51.8	5369.1469567527	245.3984282119
51.9	5391.9459213653	245.8877040614
52	5414.5805544746	246.3383151641
52.1	5437.0461481012	246.8250359673
52.2	5459.3609703982	247.275328252
52.3	5481.5633791407	247.7515187282
52.4	5503.7101945882	248.2277092044
52.5	5525.8628314996	248.7038996806
52.6	5548.0780828565	249.1910744319
52.7	5570.4048414206	249.72408332
52.8	5592.8820842878	250.2222734784
52.9	5615.5400167691	250.7381464943
53	5638.4029172854	251.2540195102
53.1	5661.4870746214	251.769892526
