Time,Speed
0,8083
0.130434783,8091
0.260869565,8103
0.391304348,8109
0.52173913,8119
0.652173913,8119
0.782608696,8110
0.913043478,8112
1.043478261,8101
1.173913043,8094
1.304347826,8067
1.434782609,8067
1.565217391,8064
1.695652174,8065
1.826086957,8068
1.956521739,8088
2.086956522,8100
2.217391304,8101
2.347826087,8091
2.47826087,8078
2.608695652,8062
2.739130435,8054
2.869565217,8047
3,8058
